Angle,Inner_Radius,Outer_Radius,Distance
328,163.45335726133007,305.28675044947494,141.83339318814487
329,163.11039206623224,304.4158340165636,141.30544195033139
330,162.9846618550347,304.13319450530224,141.14853265026755
331,162.4130536625674,303.43368303469543,141.02062937212804
332,162.3607095328177,302.82833420933383,140.46762467651612
333,161.8919392681427,302.3177136722227,140.42577440408
334,161.91355718407277,301.51782700198675,139.60426981791397
335,161.54875425084526,301.16606714568627,139.617312894841
336,161.24515496597098,300.84713726409296,139.60198229812198
337,161.00310556011024,300.30817504690077,139.30506948679053
338,160.822883943797,299.90165054564136,139.07876660184436
339,160.70469812671936,299.3927186823354,138.68802055561602
340,160.0312469488381,298.93979326948096,138.90854632064287
341,160.0124995117569,298.8394217635953,138.8269222518384
342,160.0562401157793,298.52973051272465,138.47349039694535
343,160.4400199451496,297.9832210041364,137.5432010589868
344,159.62455951387932,297.6743186773088,138.04975916342948
345,159.8311609167624,297.3550066839299,137.5238457671675
346,159.5900999435742,297.122870206923,137.5327702633488
347,159.66214329013624,296.7642161716941,137.10207288155786
348,159.05030650709227,296.5299310356376,137.47962452854534
349,159.47727110782904,296.33933252270106,136.86206141487202
350,159.3047394147456,296.24989451474914,136.94515510000355
351,158.8238017426859,296.1384811198977,137.31467937721177
352,159.26079241294764,295.85469406450187,136.59390165155423
353,158.91192529196795,295.8462438497403,136.93431855777234
354,158.61904047118682,295.526648544594,136.9076080734072
355,159.45218719101973,295.0610106401725,135.6088234491528
356,159.25451327984396,295.6112311804137,136.35671790056975
357,159.11316727411344,295.3811097548386,136.26794248072514
358,159.02829936838285,295.16944286290885,136.141143494526
359,159.00314462299164,295.0423698386386,136.03922521564695
